 55M	./Android/ANDROID 2.0游戏开发实战宝典.pdf
6.7M	./GameDev/Graphics/Introduction.to.3D.Game.Programming.with.DirectX.9.pdf
9.7M	./GameDev/Graphics/Learn.Vertex.and.Pixel.Shader.Programming.With.DirectX.9.pdf
4.7M	./GameDev/Graphics/Level.of.Detail.for.3D.Graphics.pdf
6.0M	./GameDev/Graphics/OpenGL/OpenGL.Game.Development.pdf
5.7M	./GameDev/Graphics/OpenGL/OpenGL.Red.Book.and.Blue.Book.rar
396K	./GameDev/Graphics/OpenGL/OpenGL.Reference.Manual.pdf
6.6M	./GameDev/Graphics/OpenGL/OpenGL.Shading.Language.2nd.Edition.(Orange.Book).2006.pdf
2.8M	./GameDev/Graphics/OpenGL/OpenGL.Shading.Language.2nd.Edition.chm
4.2M	./GameDev/Graphics/OpenGL/OpenGL.Super.Bible.pdf
 13M	./GameDev/Graphics/OpenGL/OpenGL.SuperBible.4th.Edition.pdf
 16M	./GameDev/Graphics/OpenGL/The.Official.Guide.to.Learning.OpenGL,.Version.2.1.pdf
 54M	./GameDev/Graphics/OpenGL
6.1M	./GameDev/Graphics/Programming.Vertex.Geometry.and.Pixel.Shaders.pdf
 17M	./GameDev/Graphics/Real-Time.Rendering.3rd.pdf
9.7M	./GameDev/Graphics/Shaders.for.Game.Programming.and.Artists.pdf
8.3M	./GameDev/Graphics/ShaderX1.-.Vertex.and.Pixel.Shader.Tips.and.Tricks.pdf
5.8M	./GameDev/Graphics/ShaderX2.-.Introductions.and.Tutorials.with.DirectX9.pdf
 15M	./GameDev/Graphics/ShaderX2.-.Tips.and.Tricks.with.DirectX9.pdf
 30M	./GameDev/Graphics/ShaderX3.-.Advanced.Rendering.with.DirectX.and.OpenGL.pdf
9.4M	./GameDev/Graphics/ShaderX5.-.Advanced.Rendering.Techniques.pdf
4.0K	./GameDev/Graphics/The.Cg.Tutorial.-.The.Definitive.Guide.to.Programmable.Real-Time.Graphics.txt
 20M	./GameDev/Graphics/计算机图形学的算法基础.pdf
448M	./GameDev/Graphics
104K	./GameDev/Math/3D Math Primer for Graphics and Games Development_1st_edition_errata.pdf
 22M	./GameDev/Math/3D.Math.Primer.for.graphics.and.game.development.pdf
7.3M	./GameDev/Math/3D.Math.Primer.for.Graphics.and.Game.Development.Souce.Code.rar
 29M	./GameDev/Math/[3D数学基础：图形与游戏开发].(3D.Math.Primer.for.Graphics.and.Game.Development).(美)Fletcher.Dunn.扫描版.pdf
 23M	./GameDev/Math/[3D游戏与计算机图形学中的数学方法].(Mathematics.for.3D.Game.Programming.and.Computer.Graphics.1st).(美)Eric.Lengyel.扫描版.pdf
3.2M	./GameDev/Math/Computational.Geometry.-.Algorithms.and.Applications,Third.Edition (2008).pdf
 34M	./GameDev/Math/Mathematical.Physics.-.A.Modern.Introduction.To.It's.Foundations.pdf
8.4M	./GameDev/Math/Mathematics.for.3D.Game.Programming.and.Computer.Graphics,.Lengyel,.3rd,.2011.pdf
 15M	./GameDev/Math/Mathematics.for.3D.Game.Programming.and.Computer.Graphics,.Second.Edition.pdf
142M	./GameDev/Math
9.4M	./GameDev/Network/Networking.and.Online.Games.-.Understanding.and.Engineering.Multiplayer.Internet.Games.pdf
9.4M	./GameDev/Network
3.9M	./GameDev/Physics/Physics.for.Game.Developers.pdf
3.0M	./GameDev/Physics/Realtime.Collision.Detection.pdf
6.9M	./GameDev/Physics
4.0K	./GameDev/readme.txt
1.6G	./GameDev
6.1M	./iOS/Learning.Cocoa.With.Objective-C.pdf
 14M	./iOS/Programming+in+Objective-C+2.0.pdf
1.1M	./iOS/The.Objective-C.2.0.Programming.Language.pdf
4.0K	./iOS/说明.txt
 21M	./iOS
 39M	./Network/TCP-IP详解(卷一、二、三).pdf
 39M	./Network
  0B	./OS
 89M	./Programming Language/C#/C#与.NET3.5高级程序设计(第4版).zip
 42M	./Programming Language/C#/C#入门经典第五版上.pdf
 33M	./Programming Language/C#/C#入门经典第五版下.pdf
 96M	./Programming Language/C#/C#高级编程(第7版)-中文版.pdf
 42M	./Programming Language/C#/C#高级编程(第7版).Professional.C#.4.0.and.NET.4.pdf
 46M	./Programming Language/C#/CLR via C# English Edition 3rd.pdf
528K	./Programming Language/C#/IDesign C# Coding Standard.zip
349M	./Programming Language/C#
4.5M	./Programming Language/C++/C++ Primer 3rd Edition 中文完美版.pdf
1.6M	./Programming Language/C++/C++ Primer, Fourth Edition .chm
6.6M	./Programming Language/C++/C++ Primer题解.pdf
3.4M	./Programming Language/C++/C++.Standard Library,The.A.Tutorial.and.Reference.chm
3.8M	./Programming Language/C++/C++标准程序库(前半部分).pdf
 21M	./Programming Language/C++/C++标准程序库.pdf
 15M	./Programming Language/C++/C++的设计与演化.pdf
 17M	./Programming Language/C++/Effective C++ 3rd Edition 中文版.pdf
1.7M	./Programming Language/C++/Effective C++ and More Effective C++.chm
1.0M	./Programming Language/C++/Effective.STL.CN.pdf
1.5M	./Programming Language/C++/Effective.STL.pdf
944K	./Programming Language/C++/Exceptional C++(中文版)_侯捷等译.pdf
368K	./Programming Language/C++/Exceptional.Cpp.chm
660K	./Programming Language/C++/Inside.the C++ Object Model.chm
 10M	./Programming Language/C++/Large-Scale.C++.Software.Design.chs.pdf
5.5M	./Programming Language/C++/Memory Management, Algorithms and Implementation in C & C++.chm
816K	./Programming Language/C++/Modern.C++ Design Generic Programming and Design Patterns Applied.chm
7.2M	./Programming Language/C++/More Effective C++.pdf
508K	./Programming Language/C++/More.Exceptional.CPP.chm
 12M	./Programming Language/C++/STL源码剖析(完整版).pdf
6.2M	./Programming Language/C++/STL源码剖析--侯捷.pdf
3.4M	./Programming Language/C++/The C++ Programming Language Special 3rd Edition.pdf
248K	./Programming Language/C++/The_C_programming_Language.chm
476K	./Programming Language/C++/超越c++标准库——boost程序库导论.chm
125M	./Programming Language/C++
  0B	./Programming Language/Java
2.6M	./Programming Language/Lua/Luabind入门教程.pdf
1.7M	./Programming Language/Lua/Lua中文教程.pdf
444K	./Programming Language/Lua/Lua程序设计.chm
592K	./Programming Language/Lua/Lua语言参考.pdf
5.3M	./Programming Language/Lua
479M	./Programming Language
4.0K	./README.md
 22M	./Software Engineer/applying_uml_and_paterns.3rd.chm
4.8M	./Software Engineer/Beautiful.Code.2007.chm
 49M	./Software Engineer/Beautiful.Code.[代码之美](中文版).pdf
 10M	./Software Engineer/Design.Patterns(中文版).pdf
2.4M	./Software Engineer/Design.Patterns.pdf
6.7M	./Software Engineer/SE_A_PRACTITIONER’S_APPROACH.pdf
1.4M	./Software Engineer/UML_Distilled_3nd_for_Dotspace.pdf
 44M	./Software Engineer/编程珠玑(第2版).pdf
1.3M	./Software Engineer/软件工程：实践者的研究方法(4th).pdf
142M	./Software Engineer
  0B	./System
 61M	./Windows/[Windows编程启示录].Old.New.Thing.-.Practical.Development.throughout.the.Evolution.of.Windows(2007).pdf
 15M	./Windows/COM原理与应用.pdf
8.3M	./Windows/Debugging Applications For Microsoft .NET And Microsoft Windows.chm
 18M	./Windows/Inside.Windows.2000.3rd.chm
9.5M	./Windows/Microsoft Windows Internals Fourth Edition(2004).chm
3.6M	./Windows/Programming.Windows(cn).chm
4.4M	./Windows/Programming.Windows(en).chm
 25M	./Windows/Windows Internals 6th Part 1.pdf
3.8M	./Windows/Windows via CC++.5th.chm
 29M	./Windows/Windows图形编程.pdf
 11M	./Windows/Windows游戏编程大师技巧（第二版）.chm
188M	./Windows
